name,price,category,popularity,durability,category_encoded
"Iron Man Armor",99.99,"Costumes",95,80,0
"Captain America's Shield",49.99,"Weapons",90,85,2
"Thor's Mjolnir Hammer",29.99,"Weapons",85,90,2
"Spider-Man Web Shooter",19.99,"Powers",100,60,1
"Black Widow's Gauntlets",45.99,"Weapons",85,75,2
"Hulk's Smash Fist",22.99,"Weapons",80,95,2
"Black Panther's Vibranium Suit",120.00,"Costumes",90,95,0
"Hawkeye's Bow and Arrows",45.00,"Weapons",75,80,2
"Ant-Man's Suit",75.00,"Costumes",80,85,0
"Scarlet Witch's Magic Powers",89.99,"Powers",85,90,1
"Doctor Strange's Cloak of Levitation",55.00,"Costumes",70,90,0
"Vision's Mind Stone",55.99,"Weapons",100,95,2
"Loki's Scepter",49.99,"Weapons",85,80,2
"Thor's Helmet",40.00,"Costumes",75,80,0
"Iron Spider Suit",110.00,"Costumes",95,90,0
"Wolverine's Claws",17.99,"Weapons",70,85,2
"Black Widow's Combat Boots",30.00,"Costumes",80,80,0
"Captain Marvel's Suit",75.00,"Costumes",90,85,0
"The Hulk's Gamma Gloves",40.00,"Weapons",85,90,2
"Iron Man's Arc Reactor",55.00,"Weapons",100,80,2
"Spider-Man's Suit",50.00,"Costumes",95,75,0
"Black Panther's Mask",32.00,"Costumes",85,90,0
"Green Goblin's Glider",39.99,"Weapons",80,75,2
"Iron Man's Repulsor Blasters",29.99,"Weapons",90,85,2
"Captain America's Vibranium Shield",65.00,"Weapons",100,95,2
"Thor's Stormbreaker Axe",100.00,"Weapons",85,95,2
"Hawkeye's Quiver",25.00,"Weapons",70,85,2
"The Falcon's Wings",75.00,"Weapons",80,90,2
"Winter Soldier's Arm",60.00,"Weapons",70,90,2
"Shuri's Vibranium Tech",40.99,"Powers",80,95,1
"Black Widow's Widow's Bite",22.99,"Weapons",80,85,2
"Hulkbuster Armor",200.00,"Costumes",100,100,0
"Vision's Solar Gem",35.00,"Weapons",90,80,2
"Doctor Strange's Eye of Agamotto",50.00,"Weapons",85,90,2
"Iron Man's Mark 50 Armor",150.00,"Costumes",95,85,0
"Captain Marvel's Photon Blasts",65.99,"Powers",90,85,1
"Thor's Lightning Powers",50.00,"Powers",95,100,1
"Iron Man's Unibeam",75.00,"Weapons",100,80,2
"Captain America's Tactical Gloves",25.99,"Costumes",75,90,0
"Thor's Battle Axe",100.00,"Weapons",85,95,2
"Ant-Man's Shrinking Powers",40.00,"Powers",80,75,1
"Black Widow's Tactical Vest",55.00,"Costumes",85,90,0
"Hawkeye's Targeting System",20.00,"Weapons",70,75,2
Ant-Man's Shrinking Powers,32.22662136331361,Powers,79,72,1
Iron Spider Suit,102.79075857050287,Costumes,91,97,0
Hulk's Smash Fist,24.799850248980793,Weapons,75,85,2
